광역시도,시군구,20-39세계,20-39세여자,65세이상계,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역,ID,y,x,여성비,20-30여성비
강원도,강릉시,47006,21807,43830,211643,105025,106618,0.4975359342915811,1,False,강릉,3,11,0.37634129170348585,-3.6080500361655945
강원도,고성군,5217,2042,7755,26792,13864,12928,0.26331399097356545,1,False,고성(강원),0,10,-1.7467900865930142,-10.85873107149703
강원도,동해시,18727,8258,17572,89814,45572,44242,0.4699521966765308,1,False,동해,4,11,-0.7404190883381234,-5.903241309339458
강원도,삼척시,13583,6117,16077,65623,33275,32348,0.3804814331031909,1,False,삼척,5,11,-0.706307239839693,-4.965766031068247
강원도,속초시,18080,8171,15170,81497,40312,41185,0.5386288727752142,0,False,속초,1,10,0.5356025375167217,-4.806415929203539
강원도,양구군,5816,2207,4558,22379,11903,10477,0.4842035980693287,1,False,양구,0,9,-3.1837883730282845,-12.05295735900963
강원도,양양군,4740,2064,8083,27628,14057,13571,0.2553507361128294,1,False,양양,2,10,-0.8795424931229201,-6.455696202531646
강원도,영월군,6203,2712,11051,38345,19824,18521,0.2454076554157995,1,False,영월,7,10,-1.6990481157908466,-6.279219732387553
강원도,원주시,90119,43299,51187,349361,173416,175946,0.8458983726336765,0,False,원주,5,10,0.3622327620999455,-1.9535281128285953
강원도,인제군,8018,3057,6300,31502,17042,14461,0.4852380952380953,1,False,인제,1,8,-4.094978096628788,-11.87328510850586
강원도,정선군,6046,2617,9750,36313,18912,17402,0.2684102564102564,1,False,정선,3,10,-2.077768292347093,-6.715183592457824
강원도,철원군,10704,4206,9872,44768,23342,21426,0.42605348460291737,1,False,철원,0,7,-2.139921372408865,-10.70627802690583
강원도,춘천시,71296,34211,48578,279745,137994,141751,0.7042488369220635,0,False,춘천,1,9,0.6715044057981401,-2.015540843806102
강원도,태백시,7685,3482,10034,42288,21395,20894,0.3470201315527208,1,False,태백,4,10,-0.5911842603102513,-4.69095640858816
강원도,평창군,6654,2925,11392,41489,21255,20235,0.25675912921348315,1,False,평창,6,10,-1.2280363469835354,-6.041478809738504
강원도,홍천군,12874,5513,17500,68652,35274,33379,0.31502857142857144,1,False,홍천,2,8,-1.3794208471712421,-7.177256485940653
강원도,화천군,6754,2382,5404,24704,13401,11303,0.4407846039970392,1,False,화천,0,8,-4.246275906735752,-14.73201066034942
강원도,횡성군,7436,3369,13230,46150,23624,22526,0.2546485260770975,1,False,횡성,2,9,-1.1895991332611044,-4.693383539537388
경기도,가평군,11954,5313,15645,61675,31742,29934,0.3395973154362416,1,False,가평,3,7,-1.4649371706526138,-5.554626066588591
경기도,과천시,16507,7958,8298,59891,29496,30395,0.9590262713906964,0,False,과천,8,6,0.7505301297356826,-1.7901496334888245
경기도,광명시,82287,39992,40679,304481,150321,154161,0.9831116792448192,0,False,광명,4,3,0.6307454323915107,-1.399370495947111
경기도,광주시,102920,48938,48272,374979,191766,183213,1.0137968180311567,0,False,광주,7,9,-1.1404638659764932,-2.450446949086671
경기도,구리시,54028,26590,25597,196379,97413,98966,1.0387936086260108,0,False,구리,3,8,0.39540887773132916,-0.7847782631228262
경기도,군포시,76889,36948,34645,272796,135268,137528,1.0664742387068842,0,False,군포,9,4,0.4142289476385286,-1.946312216311824
경기도,권선구,113900,54496,39664,367862,185541,182321,1.3739411052843888,0,False,수원 권선,9,6,-0.4376641240465162,-2.154521510096574
경기도,기흥구,115749,57650,54347,436038,215319,220719,1.0607761237970816,0,False,용인 기흥,9,8,0.619212087019938,-0.1939541594311811
경기도,김포시,123044,61263,54750,453048,227223,225825,1.118958904109589,0,False,김포,4,2,-0.15428828733379252,-0.21049380709339816
경기도,남양주시,173840,85953,95826,702635,349883,352752,0.8969695072318578,0,False,남양주,2,7,0.2041600546514144,-0.5562586286240234
경기도,단원구,89533,41327,30205,301918,155486,146433,1.3682171825856646,0,False,안산 단원,9,3,-1.499082532343221,-3.841600303798598
경기도,덕양구,128811,63013,66283,467051,231010,236041,0.950666083309446,0,False,고양 덕양,3,4,0.538592145183292,-1.08104121542415
